snr_db,errores_totales,bits_totales,ber_empirica,ber_teorica
0.0,4542,56328,8.063485e-02,7.864960e-02
1.0,3237,56328,5.746698e-02,5.628195e-02
2.0,2174,56328,3.859537e-02,3.750613e-02
3.0,1317,56328,2.338091e-02,2.287841e-02
4.0,726,56328,1.288879e-02,1.250082e-02
5.0,364,56328,6.462150e-03,5.953867e-03
6.0,143,56328,2.538702e-03,2.388291e-03
7.0,49,56328,8.699048e-04,7.726748e-04
8.0,9,56328,1.597784e-04,1.909078e-04
9.0,1,56328,1.775316e-05,3.362723e-05
10.0,0,56328,0.000000e+00,3.872108e-06
11.0,0,56328,0.000000e+00,2.613068e-07
12.0,0,56328,0.000000e+00,9.006010e-09
