elevacion_deg,distancia_km,fspl_db,p_rx_dbm,c_n0_db_hz,eb_n0_db,margen_db,snr_requerida_db,perdida_total_db,t_sys_k
5,2728.6,153.99,-113.99,58.91,19.09,7.09,12.0,156.49,371.3
10,2314.2,152.56,-112.56,60.35,20.52,8.52,12.0,155.06,371.3
15,1983.5,151.22,-111.22,61.68,21.86,9.86,12.0,153.72,371.3
20,1722.8,149.99,-109.99,62.91,23.09,11.09,12.0,152.49,371.3
25,1517.6,148.89,-108.89,64.01,24.19,12.19,12.0,151.39,371.3
30,1355.8,147.91,-107.91,64.99,25.17,13.17,12.0,150.41,371.3
35,1227.3,147.05,-107.05,65.85,26.03,14.03,12.0,149.55,371.3
40,1124.6,146.29,-106.29,66.61,26.79,14.79,12.0,148.79,371.3
45,1042.1,145.63,-105.63,67.27,27.45,15.45,12.0,148.13,371.3
50,975.7,145.05,-105.05,67.85,28.02,16.02,12.0,147.55,371.3
55,922.2,144.56,-104.56,68.34,28.51,16.51,12.0,147.06,371.3
60,879.3,144.15,-104.15,68.75,28.93,16.93,12.0,146.65,371.3
65,845.3,143.81,-103.81,69.09,29.27,17.27,12.0,146.31,371.3
70,818.9,143.53,-103.53,69.37,29.55,17.55,12.0,146.03,371.3
75,799.2,143.32,-103.32,69.58,29.76,17.76,12.0,145.82,371.3
80,785.6,143.17,-103.17,69.73,29.91,17.91,12.0,145.67,371.3
85,777.6,143.08,-103.08,69.82,30.0,18.0,12.0,145.58,371.3
90,775.0,143.05,-103.05,69.85,30.02,18.02,12.0,145.55,371.3
