modulacion,snr_db,bits_evaluados,errores_bit,ber,ancho_banda_estimado_hz
BPSK,-2,18776,16,0.0008521516829995739,27022.75
BPSK,0,18776,1,5.325948018747337e-05,27022.75
BPSK,2,18776,0,0.0,27022.75
BPSK,4,18776,0,0.0,27022.75
BPSK,6,18776,0,0.0,27022.75
BPSK,8,18776,0,0.0,27022.75
BPSK,10,18776,0,0.0,27022.75
BPSK,12,18776,0,0.0,27022.75
FSK,-2,18776,2031,0.10817000426075842,11775.54
FSK,0,18776,1000,0.05325948018747337,11775.54
FSK,2,18776,358,0.019066893907115467,11775.54
FSK,4,18776,73,0.003887942053685556,11775.54
FSK,6,18776,9,0.00047933532168726033,11775.54
FSK,8,18776,0,0.0,11775.54
FSK,10,18776,0,0.0,11775.54
FSK,12,18776,0,0.0,11775.54
