modulation,rrc,fading,fec,sincronizacion,doppler_residual_hz,snr_db,bits_evaluados,errores_bit,ber,ancho_banda_hz,ax25_frames_validos
BPSK,False,False,False,Costas+Gardner,0.0,-10,18775,9135,0.48655126498002665,66112.5,0
BPSK,False,False,False,Costas+Gardner,0.0,-8,18775,10718,0.5708655126498002,66112.5,0
BPSK,False,False,False,Costas+Gardner,0.0,-6,18775,2767,0.14737683089214382,66112.5,0
BPSK,False,False,False,Costas+Gardner,0.0,-4,18775,1687,0.08985352862849534,66112.5,0
BPSK,False,False,False,Costas+Gardner,0.0,-2,18775,848,0.04516644474034621,66112.5,0
BPSK,False,False,False,Costas+Gardner,0.0,0,18775,325,0.017310252996005325,66112.5,0
BPSK,False,False,False,Costas+Gardner,0.0,2,18775,70,0.0037283621837549932,66112.5,0
BPSK,False,False,False,Costas+Gardner,0.0,4,18775,6,0.0003195739014647137,66112.5,0
BPSK,True,False,False,Costas+Gardner,0.0,-10,18776,12311,0.6556774605879847,11175.0,0
BPSK,True,False,False,Costas+Gardner,0.0,-8,18776,1160,0.06178099701746911,11175.0,0
BPSK,True,False,False,Costas+Gardner,0.0,-6,18776,446,0.023753728163613125,11175.0,0
BPSK,True,False,False,Costas+Gardner,0.0,-4,18776,127,0.006763953983809118,11175.0,0
BPSK,True,False,False,Costas+Gardner,0.0,-2,18776,16,0.0008521516829995739,11175.0,0
BPSK,True,False,False,Costas+Gardner,0.0,0,18776,1,5.325948018747337e-05,11175.0,0
BPSK,True,False,False,Costas+Gardner,0.0,2,18776,0,0.0,11175.0,0
BPSK,True,False,False,Costas+Gardner,0.0,4,18776,0,0.0,11175.0,0
BPSK,False,True,False,Costas+Gardner,0.0,-10,18776,9430,0.5022368981678739,66112.5,0
BPSK,False,True,False,Costas+Gardner,0.0,-8,18775,7821,0.4165645805592543,66112.5,0
BPSK,False,True,False,Costas+Gardner,0.0,-6,18776,9361,0.4985619940349382,66112.5,0
BPSK,False,True,False,Costas+Gardner,0.0,-4,18775,14978,0.797762982689747,66112.5,0
BPSK,False,True,False,Costas+Gardner,0.0,-2,18775,1034,0.05507323568575233,66112.5,0
BPSK,False,True,False,Costas+Gardner,0.0,0,18775,433,0.023062583222370172,66112.5,0
BPSK,False,True,False,Costas+Gardner,0.0,2,18775,166,0.008841544607190412,66112.5,0
BPSK,False,True,False,Costas+Gardner,0.0,4,18775,34,0.0018109187749667111,66112.5,0
BPSK,True,True,False,Costas+Gardner,0.0,-10,18776,9667,0.514859394972305,11175.0,0
BPSK,True,True,False,Costas+Gardner,0.0,-8,18776,5411,0.2881870472944184,11175.0,0
BPSK,True,True,False,Costas+Gardner,0.0,-6,18776,13916,0.7411589262888795,11175.0,0
BPSK,True,True,False,Costas+Gardner,0.0,-4,18776,242,0.012888794205368556,11175.0,0
BPSK,True,True,False,Costas+Gardner,0.0,-2,18776,5907,0.3146037494674052,11175.0,0
BPSK,True,True,False,Costas+Gardner,0.0,0,18776,23,0.0012249680443118876,11175.0,0
BPSK,True,True,False,Costas+Gardner,0.0,2,18776,2,0.00010651896037494674,11175.0,0
BPSK,True,True,False,Costas+Gardner,0.0,4,18776,0,0.0,11175.0,0
BPSK,False,False,False,Costas+Gardner,0.05,-10,18776,9325,0.4966446527481892,66112.5,0
BPSK,False,False,False,Costas+Gardner,0.05,-8,18775,6772,0.3606924101198402,66112.5,0
BPSK,False,False,False,Costas+Gardner,0.05,-6,18776,9594,0.5109714529186196,66112.5,0
BPSK,False,False,False,Costas+Gardner,0.05,-4,18775,1781,0.09486018641810919,66112.5,0
BPSK,False,False,False,Costas+Gardner,0.05,-2,18775,820,0.04367509986684421,66112.5,0
BPSK,False,False,False,Costas+Gardner,0.05,0,18775,293,0.015605858854860186,66112.5,0
BPSK,False,False,False,Costas+Gardner,0.05,2,18775,71,0.003781624500665779,66112.5,0
BPSK,False,False,False,Costas+Gardner,0.05,4,18775,14,0.0007456724367509987,66112.5,0
BPSK,True,False,False,Costas+Gardner,0.05,-10,18776,10552,0.561994034938219,11175.0,0
BPSK,True,False,False,Costas+Gardner,0.05,-8,18776,1216,0.06476352790796762,11175.0,0
BPSK,True,False,False,Costas+Gardner,0.05,-6,18776,432,0.023008095440988495,11175.0,0
BPSK,True,False,False,Costas+Gardner,0.05,-4,18776,105,0.005592245419684704,11175.0,0
BPSK,True,False,False,Costas+Gardner,0.05,-2,18776,9,0.00047933532168726033,11175.0,0
BPSK,True,False,False,Costas+Gardner,0.05,0,18776,0,0.0,11175.0,0
BPSK,True,False,False,Costas+Gardner,0.05,2,18776,0,0.0,11175.0,0
BPSK,True,False,False,Costas+Gardner,0.05,4,18776,0,0.0,11175.0,0
BPSK,False,True,False,Costas+Gardner,0.05,-10,18775,9532,0.5076964047936086,66112.5,0
BPSK,False,True,False,Costas+Gardner,0.05,-8,18775,9863,0.5253262316910786,66112.5,0
BPSK,False,True,False,Costas+Gardner,0.05,-6,18775,14813,0.7889747003994674,66112.5,0
BPSK,False,True,False,Costas+Gardner,0.05,-4,18776,9425,0.5019706007669366,66112.5,0
BPSK,False,True,False,Costas+Gardner,0.05,-2,18775,1083,0.057683089214380825,66112.5,0
BPSK,False,True,False,Costas+Gardner,0.05,0,18775,480,0.025565912117177098,66112.5,0
BPSK,False,True,False,Costas+Gardner,0.05,2,18775,136,0.007243675099866845,66112.5,0
BPSK,False,True,False,Costas+Gardner,0.05,4,18775,35,0.0018641810918774966,66112.5,0
BPSK,True,True,False,Costas+Gardner,0.05,-10,18776,10851,0.5779186195142736,11175.0,0
BPSK,True,True,False,Costas+Gardner,0.05,-8,18776,14424,0.7682147422241159,11175.0,0
BPSK,True,True,False,Costas+Gardner,0.05,-6,18776,9433,0.5023966766084363,11175.0,0
BPSK,True,True,False,Costas+Gardner,0.05,-4,18776,261,0.01390072432893055,11175.0,0
BPSK,True,True,False,Costas+Gardner,0.05,-2,18776,66,0.0035151256923732425,11175.0,0
BPSK,True,True,False,Costas+Gardner,0.05,0,18776,13,0.0006923732424371538,11175.0,0
BPSK,True,True,False,Costas+Gardner,0.05,2,18776,5,0.00026629740093736683,11175.0,0
BPSK,True,True,False,Costas+Gardner,0.05,4,18776,0,0.0,11175.0,0
BPSK,False,False,False,Costas+Gardner,0.1,-10,18775,8616,0.4589081225033289,66112.5,0
BPSK,False,False,False,Costas+Gardner,0.1,-8,18775,9383,0.4997603195739015,66112.5,0
BPSK,False,False,False,Costas+Gardner,0.1,-6,18775,2810,0.1496671105193076,66112.5,0
BPSK,False,False,False,Costas+Gardner,0.1,-4,18775,1751,0.09326231691078563,66112.5,0
BPSK,False,False,False,Costas+Gardner,0.1,-2,18775,888,0.04729693741677763,66112.5,0
BPSK,False,False,False,Costas+Gardner,0.1,0,18775,300,0.015978695073235686,66112.5,0
BPSK,False,False,False,Costas+Gardner,0.1,2,18775,79,0.004207723035952064,66112.5,0
BPSK,False,False,False,Costas+Gardner,0.1,4,18775,7,0.00037283621837549936,66112.5,0
BPSK,True,False,False,Costas+Gardner,0.1,-10,18776,9324,0.4965913932680017,11175.0,0
BPSK,True,False,False,Costas+Gardner,0.1,-8,18776,1097,0.05842564976565829,11175.0,0
